ID	Control1	Control2	Control3	Control4	Control5	Control6	Control7	Control8	Control9	Control10	Control11	Control12	Control13	Control14
OTU1244	3.931726908	2.935532234			4		3.007680492			9.741293532	3.701323251		4.424858757	3.625925926
OTU1246	27.52208835	41.09745127	11.10206186	6.11875	13		3.007680492	10.56950067	6.245614035		3.701323251	6.109204368	2.212429379	10.87777778
OTU1254			1.009278351						3.122807018		3.701323251	3.054602184		3.625925926
OTU1261				3.059375	1							3.054602184	2.212429379	
OTU1270			1.009278351		6	2.300822562		2.642375169						
OTU1272						2.300822562	3.007680492		3.122807018				8.849717514	3.625925926
OTU1274					1			2.642375169		14.6119403	3.701323251		4.424858757	
OTU12820	3.931726908					2.300822562		2.642375169		4.870646766	3.701323251			
OTU12875	3.931726908				1			2.642375169					2.212429379	
OTU1288		2.935532234	2.018556701	6.11875	3	2.300822562	6.015360983			4.870646766		3.054602184	2.212429379	
OTU1298			7.064948454	3.059375	7			2.642375169						
OTU13								7.927125506			3.701323251	3.054602184	4.424858757	
OTU1303			2.018556701		3	4.601645123	3.007680492						2.212429379	
OTU1305	15.72690763		9.083505155	15.296875	11									
OTU13063	27.52208835	5.871064468	1.009278351								3.701323251			
OTU13115	3.931726908		3.027835052		1			2.642375169						
OTU13152			2.018556701	3.059375	2	4.601645123		2.642375169	3.122807018					
OTU1317			1.009278351		2	2.300822562	3.007680492		6.245614035					
OTU13179							3.007680492	23.78137652	18.73684211			6.109204368		
OTU13180					1			7.927125506	3.122807018					3.625925926
OTU13243		2.935532234	1.009278351	3.059375		4.601645123								
OTU13257							3.007680492		3.122807018			3.054602184		3.625925926
OTU1329		20.54872564	5.046391753		3					14.6119403		3.054602184	2.212429379	3.625925926
OTU1331					1			2.642375169		4.870646766		18.3276131		3.625925926
OTU13311	7.863453815		7.064948454	3.059375	2				3.122807018					
OTU1332		2.935532234	2.018556701	3.059375	2									
OTU13404	3.931726908	2.935532234				4.601645123					7.402646503			
OTU13508			1.009278351			2.300822562		2.642375169					4.424858757	
OTU13525			1.009278351	3.059375	1								2.212429379	
OTU1354				3.059375			3.007680492	2.642375169		4.870646766		3.054602184		
OTU1356	3.931726908					2.300822562			3.122807018	43.8358209		12.21840874		3.625925926
OTU13610			1.009278351	3.059375	5	9.203290247								
OTU1365				3.059375	1					9.741293532	7.402646503	3.054602184	4.424858757	3.625925926
OTU1367	3.931726908				1			2.642375169		9.741293532	29.61058601		4.424858757	
OTU13682	3.931726908	2.935532234			1		3.007680492							
OTU1377	3.931726908							2.642375169		9.741293532	3.701323251		4.424858757	
OTU1380		2.935532234			2					4.870646766	7.402646503		2.212429379	
OTU1381										19.48258706	14.80529301	3.054602184	2.212429379	
OTU1382					1			2.642375169		29.2238806	18.50661626	3.054602184	6.637288136	3.625925926
OTU1388					3		3.007680492	2.642375169	3.122807018	19.48258706	40.71455577	12.21840874	17.69943503	7.251851852
OTU139								2.642375169		4.870646766			8.849717514	3.625925926
OTU1400		2.935532234			1					4.870646766		3.054602184		
OTU1401										19.48258706	3.701323251	3.054602184	6.637288136	14.5037037
OTU14044						2.300822562	6.015360983	2.642375169		4.870646766				
