ID	Control1	Control2	Control3	Control4	Control5	Control6	Control7	Control8	Control9	Control10	Control11	Control12	Control13	Control14
OTU5709		11.74212894	2.018556701	3.059375	7		3.007680492	2.642375169			3.701323251			
OTU571	7.863453815	5.871064468	2.018556701	12.2375	6	4.601645123		2.642375169						
OTU5713			1.009278351		1			2.642375169						3.625925926
OTU5728			2.018556701	3.059375	3			5.284750337						
OTU576		5.871064468	3.027835052		2	2.300822562			6.245614035			6.109204368		
OTU5769					3			2.642375169	3.122807018					3.625925926
OTU5773				3.059375	2			2.642375169	6.245614035			9.163806552		7.251851852
OTU5776	7.863453815	2.935532234					3.007680492	2.642375169	3.122807018				4.424858757	
OTU5785					1	2.300822562			6.245614035	4.870646766			4.424858757	
OTU5787		2.935532234				11.50411281			3.122807018	4.870646766			2.212429379	
OTU580	19.65863454	17.6131934	7.064948454	6.11875	6	9.203290247	27.06912442		3.122807018		3.701323251	3.054602184	4.424858757	10.87777778
OTU582	3.931726908	5.871064468	5.046391753		3	6.902467685	6.015360983	5.284750337	3.122807018	9.741293532	11.10396975	3.054602184	6.637288136	7.251851852
OTU5876	11.79518072	2.935532234	6.055670103		7	4.601645123	9.023041475		3.122807018				4.424858757	7.251851852
OTU5891	3.931726908		2.018556701		1		3.007680492							
OTU5896			9.083505155		3		3.007680492		3.122807018			3.054602184		
OTU5907	3.931726908		1.009278351		4		3.007680492	7.927125506	3.122807018					
OTU5914		2.935532234				2.300822562	3.007680492					9.163806552		
OTU5917						2.300822562	6.015360983	5.284750337	18.73684211		3.701323251	3.054602184	8.849717514	
OTU592			1.009278351		1				3.122807018	9.741293532	7.402646503		2.212429379	3.625925926
OTU5923	3.931726908				2	2.300822562	3.007680492							
OTU5932		8.806596702			1	2.300822562	6.015360983	5.284750337						
OTU5966							3.007680492	7.927125506		4.870646766	3.701323251		2.212429379	
OTU5971		2.935532234	2.018556701			6.902467685	3.007680492	2.642375169	3.122807018					
OTU6004			1.009278351	3.059375			3.007680492			4.870646766	3.701323251	3.054602184		
OTU6036		2.935532234	1.009278351		2		3.007680492							
OTU6038	3.931726908			3.059375		2.300822562	3.007680492							
OTU6046			1.009278351				3.007680492				3.701323251		2.212429379	
OTU6061	3.931726908		1.009278351				6.015360983		3.122807018				2.212429379	
OTU607			2.018556701	3.059375		2.300822562		2.642375169	6.245614035					3.625925926
OTU6078			1.009278351				3.007680492		3.122807018				2.212429379	
OTU6092	3.931726908	2.935532234	1.009278351	3.059375	2		15.03840246							
OTU6098							3.007680492					6.109204368	4.424858757	3.625925926
OTU6102			3.027835052		3		3.007680492						2.212429379	
OTU611		2.935532234	2.018556701			2.300822562			6.245614035				2.212429379	3.625925926
OTU612			4.037113402		3	2.300822562		5.284750337					2.212429379	
OTU615		11.74212894	7.064948454	9.178125	9		3.007680492	2.642375169	3.122807018		3.701323251	6.109204368	11.06214689	18.12962963
OTU6156		2.935532234	1.009278351		1		3.007680492							
OTU6157			1.009278351		3		3.007680492		3.122807018		3.701323251			
OTU6159			2.018556701		4	6.902467685	3.007680492						2.212429379	
OTU617	3.931726908			3.059375	1				3.122807018			6.109204368		
OTU618		2.935532234	2.018556701	3.059375	4	4.601645123	3.007680492							
OTU6182		2.935532234			1			2.642375169		4.870646766				
OTU6192		2.935532234		3.059375	1			2.642375169						
OTU6206			1.009278351								3.701323251		4.424858757	7.251851852
OTU624	23.59036145							5.284750337	3.122807018			3.054602184	4.424858757	
OTU6242		2.935532234		3.059375							7.402646503	3.054602184	6.637288136	3.625925926
OTU626	3.931726908		2.018556701		3	2.300822562								
OTU6262	3.931726908	2.935532234				2.300822562		18.49662618						
OTU6263	3.931726908		4.037113402	9.178125	5									
OTU6271			2.018556701	3.059375			3.007680492	2.642375169						
OTU6283	11.79518072				1	2.300822562	3.007680492						2.212429379	
OTU630	3.931726908		2.018556701		1					9.741293532	7.402646503	3.054602184		7.251851852
OTU6304		2.935532234	2.018556701		1			2.642375169						
OTU6309			1.009278351	6.11875	3			2.642375169	6.245614035					
OTU631	3.931726908	2.935532234	3.027835052	6.11875	6			2.642375169	3.122807018					3.625925926
OTU632	3.931726908	8.806596702	3.027835052		1		3.007680492	7.927125506				3.054602184		
OTU6323			3.027835052	3.059375		2.300822562					7.402646503	9.163806552	2.212429379	
OTU6354			4.037113402	6.11875	1			2.642375169	3.122807018					3.625925926
OTU637	7.863453815	2.935532234	4.037113402	6.11875	4		6.015360983							
OTU6371					2			2.642375169	6.245614035		7.402646503	3.054602184	6.637288136	
OTU6384	3.931726908	2.935532234		3.059375	2	2.300822562							2.212429379	
OTU64			4.037113402					2.642375169				9.163806552	4.424858757	
OTU640	3.931726908	8.806596702	7.064948454	9.178125	2						3.701323251	6.109204368	8.849717514	3.625925926
OTU641	3.931726908	11.74212894	17.15773196	9.178125	19	23.00822562	27.06912442	5.284750337	18.73684211			6.109204368	2.212429379	14.5037037
OTU6439			1.009278351			2.300822562	3.007680492	2.642375169	9.368421053					
OTU644		5.871064468	5.046391753	6.11875	8						3.701323251	9.163806552	4.424858757	
OTU646	3.931726908		4.037113402	3.059375	6	4.601645123								
OTU649		2.935532234	5.046391753				3.007680492	2.642375169	9.368421053					7.251851852
OTU6506				3.059375	5			2.642375169	3.122807018					
OTU6508			8.074226804	18.35625	6	11.50411281	6.015360983						2.212429379	
OTU651		2.935532234	1.009278351	3.059375	2				3.122807018	9.741293532		3.054602184	8.849717514	3.625925926
OTU6510		2.935532234			1		3.007680492	2.642375169	3.122807018		3.701323251			3.625925926
OTU6540										4.870646766	18.50661626	3.054602184	6.637288136	
OTU6550			2.018556701		1			2.642375169		4.870646766				
OTU656	7.863453815	14.67766117	14.12989691	3.059375	5	23.00822562	30.07680492	2.642375169	3.122807018					3.625925926
OTU6563					2			5.284750337			3.701323251	9.163806552	6.637288136	
OTU6570	11.79518072	2.935532234			1			5.284750337						
OTU6572			1.009278351					2.642375169		4.870646766		3.054602184		3.625925926
OTU6628								2.642375169			3.701323251	6.109204368	2.212429379	7.251851852
OTU6632			1.009278351			2.300822562						3.054602184		3.625925926
OTU664	23.59036145	5.871064468	1.009278351		3	9.203290247	6.015360983							
OTU6643	3.931726908	5.871064468	1.009278351					2.642375169						
OTU673	3.931726908	14.67766117		3.059375			3.007680492	2.642375169						
OTU6774			1.009278351		1	4.601645123	3.007680492							
OTU6788	3.931726908		6.055670103	3.059375	1									
OTU681		5.871064468	1.009278351	3.059375	2			2.642375169	9.368421053		3.701323251			
OTU6830		2.935532234	2.018556701				3.007680492				3.701323251			
OTU684	3.931726908	8.806596702	2.018556701		1	2.300822562			3.122807018					
OTU685	7.863453815	11.74212894				27.60987074	6.015360983							
OTU6892		5.871064468	3.027835052	3.059375	3									
OTU6899		5.871064468	1.009278351	3.059375	4									
OTU69			2.018556701	3.059375	2						7.402646503	9.163806552	11.06214689	7.251851852
OTU6902	7.863453815		2.018556701	3.059375	1									3.625925926
OTU6929			3.027835052		3						3.701323251		2.212429379	
OTU6932			10.09278351	3.059375	8	2.300822562	3.007680492					6.109204368	2.212429379	
OTU6957		2.935532234	4.037113402		1							3.054602184		3.625925926
OTU6967			1.009278351	3.059375	1						3.701323251			
OTU6984	3.931726908		4.037113402	3.059375		2.300822562					3.701323251	6.109204368	2.212429379	10.87777778
OTU6987	7.863453815		1.009278351		1	6.902467685								
OTU704	3.931726908	2.935532234	6.055670103	9.178125	12	2.300822562	12.03072197							
OTU7043			2.018556701					2.642375169	3.122807018			3.054602184		
OTU7049		2.935532234	1.009278351	6.11875	1									
OTU7069		2.935532234	1.009278351		3	2.300822562								
OTU7075			4.037113402	9.178125	3		3.007680492							
OTU7087			1.009278351	3.059375	5			2.642375169						
OTU7097			1.009278351	3.059375	4						14.80529301		2.212429379	
OTU7157					1	2.300822562		5.284750337		4.870646766		3.054602184		
OTU719		2.935532234	1.009278351	3.059375	2									
OTU721			2.018556701		1			13.21187584	6.245614035					3.625925926
OTU7286						4.601645123	6.015360983			4.870646766			2.212429379	3.625925926
OTU729			1.009278351			2.300822562			3.122807018					3.625925926
OTU73					1	4.601645123	3.007680492	10.56950067		19.48258706		6.109204368		3.625925926
OTU733			1.009278351		2	2.300822562	3.007680492	5.284750337	3.122807018					
OTU7333	3.931726908		2.018556701			6.902467685	3.007680492	5.284750337					4.424858757	
OTU7348		2.935532234			1				3.122807018			3.054602184		
OTU736	7.863453815	5.871064468	4.037113402		2	2.300822562	6.015360983	13.21187584		4.870646766	3.701323251		2.212429379	
OTU739		2.935532234		3.059375			3.007680492	2.642375169	6.245614035	4.870646766		3.054602184		
OTU740	3.931726908		4.037113402	3.059375	3	6.902467685	9.023041475	10.56950067						
OTU7427		11.74212894	4.037113402				6.015360983	15.85425101						
OTU7433		2.935532234		3.059375	1		3.007680492							
OTU7448		2.935532234	2.018556701		2			2.642375169						
OTU7519										9.741293532	7.402646503	3.054602184	4.424858757	3.625925926
OTU757	11.79518072	29.35532234	3.027835052		4	29.9106933	12.03072197							3.625925926
OTU7585		2.935532234							3.122807018			3.054602184		3.625925926
OTU7593			1.009278351		1				12.49122807			3.054602184		
OTU7632			1.009278351		4					4.870646766	3.701323251	9.163806552		
OTU7714			1.009278351	3.059375							3.701323251	3.054602184		
OTU7752	3.931726908		1.009278351		1						7.402646503		6.637288136	
OTU777		11.74212894		3.059375	8		3.007680492						8.849717514	7.251851852
OTU7773			1.009278351		3			2.642375169	3.122807018					
OTU7822			1.009278351			2.300822562					3.701323251		4.424858757	3.625925926
OTU783		2.935532234	2.018556701							9.741293532	3.701323251			7.251851852
OTU784	7.863453815		1.009278351	9.178125	1		6.015360983							
OTU7846		2.935532234	2.018556701			2.300822562							13.27457627	
OTU7856	3.931726908		3.027835052	3.059375	2									
OTU7891			1.009278351	3.059375	2		3.007680492							
OTU7924			1.009278351	6.11875	1			2.642375169						
OTU7942		2.935532234			2	2.300822562			3.122807018					
OTU8			3.027835052				9.023041475				3.701323251	6.109204368	4.424858757	18.12962963
OTU8004			1.009278351			2.300822562	3.007680492	2.642375169	3.122807018					
OTU8014	3.931726908	2.935532234						2.642375169				6.109204368	2.212429379	
OTU8016			4.037113402	18.35625	4			10.56950067	6.245614035	4.870646766				3.625925926
OTU8018			2.018556701			2.300822562		2.642375169						3.625925926
OTU8047								2.642375169	3.122807018				2.212429379	3.625925926
OTU8085			2.018556701		4	2.300822562							2.212429379	
OTU81			1.009278351				3.007680492				3.701323251	3.054602184	4.424858757	3.625925926
OTU811	3.931726908	5.871064468			1			2.642375169						
OTU8111	19.65863454		2.018556701	3.059375	1	20.70740306	3.007680492							3.625925926
OTU8114		5.871064468			4	2.300822562							4.424858757	
OTU8165										4.870646766	3.701323251	3.054602184	6.637288136	
OTU818		5.871064468	3.027835052	9.178125	3	6.902467685						3.054602184		7.251851852
OTU8194			1.009278351	3.059375		2.300822562		7.927125506				3.054602184		7.251851852
OTU821			3.027835052		2		12.03072197	2.642375169						
OTU823		2.935532234		3.059375	1	6.902467685	3.007680492	5.284750337					2.212429379	
OTU829	3.931726908	14.67766117			1		3.007680492							
OTU8292	3.931726908		4.037113402	6.11875	5									3.625925926
OTU8301		2.935532234								4.870646766	3.701323251	3.054602184		
OTU832					2	2.300822562		7.927125506	6.245614035					
OTU8343					1						3.701323251		13.27457627	3.625925926
OTU8354			1.009278351	6.11875	1									3.625925926
OTU8384		2.935532234						2.642375169	21.85964912	4.870646766		3.054602184	4.424858757	
OTU8405	3.931726908				1	6.902467685		10.56950067	3.122807018			15.27301092	2.212429379	
OTU841			3.027835052		6			5.284750337						3.625925926
OTU842			2.018556701						3.122807018	4.870646766	7.402646503			3.625925926
OTU8428				3.059375					3.122807018		3.701323251	3.054602184		
OTU8459						2.300822562	3.007680492	5.284750337	3.122807018					
OTU849	3.931726908	2.935532234			2	9.203290247	15.03840246							
OTU850	3.931726908	5.871064468	2.018556701	3.059375	2	2.300822562						3.054602184		
OTU8573			1.009278351		1	23.00822562							4.424858757	3.625925926
OTU858		2.935532234			1		6.015360983	7.927125506			3.701323251	3.054602184	11.06214689	10.87777778
OTU8581		2.935532234	1.009278351	3.059375	8									3.625925926
OTU8583				3.059375		2.300822562	3.007680492	5.284750337	3.122807018			3.054602184	6.637288136	7.251851852
OTU868			1.009278351			2.300822562			3.122807018				11.06214689	
OTU869			2.018556701	3.059375	2	9.203290247								
OTU8692			1.009278351					2.642375169				3.054602184	2.212429379	
OTU870	7.863453815	2.935532234	5.046391753	3.059375		2.300822562								
OTU8721			1.009278351	3.059375	1		3.007680492	5.284750337	12.49122807					
OTU8748	3.931726908	2.935532234	3.027835052	9.178125	3									
OTU8767			6.055670103	6.11875	2								2.212429379	
OTU877			1.009278351			2.300822562		2.642375169	6.245614035			3.054602184		7.251851852
OTU880	3.931726908	2.935532234	5.046391753		3		6.015360983							
OTU8803	3.931726908									4.870646766	3.701323251	6.109204368		
OTU8808					6	2.300822562		2.642375169						3.625925926
OTU885						2.300822562						6.109204368	4.424858757	10.87777778
OTU888	3.931726908		1.009278351				3.007680492					18.3276131		
OTU890	3.931726908				1				3.122807018			9.163806552	4.424858757	10.87777778
OTU8925		2.935532234			3				3.122807018	4.870646766				
OTU895			1.009278351	3.059375		2.300822562	6.015360983							
OTU896							3.007680492	5.284750337		4.870646766	3.701323251		2.212429379	
OTU898			1.009278351	3.059375								3.054602184	2.212429379	
OTU9			1.009278351		2			2.642375169					2.212429379	
OTU901	7.863453815				3				3.122807018			3.054602184	2.212429379	3.625925926
OTU9025			1.009278351	3.059375	2					9.741293532				
OTU9028						4.601645123	15.03840246	2.642375169					2.212429379	
OTU904						2.300822562	6.015360983		3.122807018			3.054602184	4.424858757	7.251851852
OTU9042	3.931726908	2.935532234	1.009278351				3.007680492		6.245614035					
OTU9111		2.935532234	1.009278351		1						3.701323251	3.054602184	4.424858757	
OTU9124				6.11875	1							3.054602184	2.212429379	3.625925926
OTU9128						11.50411281	3.007680492	5.284750337			3.701323251			
OTU9133					1	2.300822562						12.21840874	2.212429379	
OTU9175			2.018556701	3.059375	2	4.601645123								
OTU9186		5.871064468	1.009278351		4	2.300822562		5.284750337	3.122807018					3.625925926
OTU9202	3.931726908		5.046391753		1			2.642375169			3.701323251	9.163806552	2.212429379	3.625925926
OTU9209		5.871064468	1.009278351		2	2.300822562								
OTU9225			2.018556701		3	11.50411281								7.251851852
OTU929			1.009278351	3.059375				2.642375169		4.870646766		6.109204368	4.424858757	7.251851852
OTU934		2.935532234			2				3.122807018					3.625925926
OTU938			1.009278351						3.122807018	14.6119403		12.21840874		7.251851852
OTU945			3.027835052		2		3.007680492							3.625925926
OTU9494									3.122807018		3.701323251	6.109204368	11.06214689	
OTU95		20.54872564				2.300822562	3.007680492		3.122807018					7.251851852
OTU951									3.122807018		14.80529301	3.054602184	2.212429379	3.625925926
OTU9551							3.007680492				3.701323251	3.054602184	2.212429379	3.625925926
OTU9572	7.863453815					2.300822562	6.015360983	2.642375169	3.122807018		3.701323251	3.054602184		
OTU9580					1	2.300822562	3.007680492						2.212429379	
OTU9591		2.935532234			3	2.300822562	3.007680492		3.122807018					
OTU96		2.935532234					3.007680492				3.701323251	9.163806552	2.212429379	
OTU9602			1.009278351			2.300822562	3.007680492	5.284750337	3.122807018					
OTU9646							3.007680492	2.642375169				3.054602184	2.212429379	3.625925926
OTU9690		2.935532234	3.027835052		4	6.902467685		2.642375169					2.212429379	
OTU9708			2.018556701		2							3.054602184	2.212429379	
OTU9729			5.046391753	6.11875	9	2.300822562			3.122807018					
OTU973	3.931726908		1.009278351		1	4.601645123								7.251851852
OTU9746			4.037113402	3.059375		4.601645123	3.007680492							
OTU9751	3.931726908		1.009278351	3.059375	1									
OTU976								5.284750337		4.870646766		3.054602184	2.212429379	10.87777778
OTU978	3.931726908		8.074226804	3.059375	1	4.601645123	6.015360983							3.625925926
OTU9799			5.046391753	6.11875	12	2.300822562								
OTU98			4.037113402	3.059375	4					4.870646766		6.109204368	4.424858757	
OTU980					1	2.300822562						6.109204368	6.637288136	10.87777778
OTU9808	3.931726908		1.009278351						15.61403509		11.10396975		2.212429379	3.625925926
OTU983	3.931726908		2.018556701			2.300822562		2.642375169	6.245614035	19.48258706	14.80529301	3.054602184	2.212429379	7.251851852
OTU9872	3.931726908	8.806596702	1.009278351		1		3.007680492	2.642375169						
OTU9899		2.935532234		3.059375			3.007680492				3.701323251			
OTU990			4.037113402		2		3.007680492	21.13900135	3.122807018		3.701323251		2.212429379	
OTU9919	3.931726908								3.122807018				2.212429379	3.625925926
OTU996	15.72690763				5					9.741293532				3.625925926
OTU998									3.122807018	68.18905473	25.90926276	9.163806552	19.91186441	
