ID	Warming1	Warming2	Warming3	Warming4	Warming5	Warming6	Warming7	Warming8	Warming9	Warming10	Warming11	Warming12	Warming13	Warming14
OTU1152					4.016410256				3.054602184	5.065976714	16.73504274	7.744232037	4.956962025	7.663405088
OTU1153	3.37295435	2.472222222	4.183760684	6.716981132	6.024615385		1.760791367		3.054602184					3.831702544
OTU11531										2.532988357	6.694017094	1.290705339	4.956962025	
OTU1157		7.416666667								2.532988357	3.347008547	3.872116018		
OTU11574	1.686477175	2.472222222		6.716981132			1.760791367							
OTU11619					2.008205128					2.532988357		1.290705339		3.831702544
OTU1166		4.944444444	4.183760684			3.030959752	1.760791367					1.290705339		
OTU117										7.598965071	6.694017094	1.290705339	4.956962025	3.831702544
OTU1171					2.008205128	6.061919505	1.760791367	2.645945946		5.065976714				3.831702544
OTU1174		2.472222222	4.183760684									1.290705339		3.831702544
OTU1177									3.054602184	2.532988357	3.347008547	2.581410679	4.956962025	7.663405088
OTU11827										2.532988357	3.347008547		4.956962025	7.663405088
OTU11915				3.358490566	2.008205128		3.521582734					2.581410679		
OTU1196	3.37295435	4.944444444	4.183760684	3.358490566	10.04102564	3.030959752	1.760791367	5.291891892	9.163806552			3.872116018		
OTU11970						3.030959752				5.065976714	3.347008547	1.290705339		7.663405088
OTU12140		2.472222222		3.358490566		3.030959752				2.532988357		1.290705339		
OTU12141	1.686477175	2.472222222		6.716981132					3.054602184					
OTU12142	1.686477175			3.358490566	8.032820513		1.760791367	2.645945946						
OTU1215				3.358490566	2.008205128		3.521582734	2.645945946				2.581410679		
OTU1226			8.367521368		4.016410256		1.760791367	2.645945946			3.347008547			3.831702544
OTU1229									3.054602184	10.13195343	6.694017094		9.913924051	
OTU1234				6.716981132				2.645945946			3.347008547	1.290705339		3.831702544
OTU12367							3.521582734	5.291891892	3.054602184			1.290705339	4.956962025	
OTU124			4.183760684	3.358490566							6.694017094	2.581410679		
OTU12409	1.686477175	2.472222222	4.183760684		2.008205128									
OTU1242			4.183760684			12.12383901	1.760791367	5.291891892		20.26390686	13.38803419	2.581410679		
OTU1244		51.91666667				21.21671827				5.065976714	3.347008547	5.162821358	9.913924051	
OTU1246		7.416666667	8.367521368	3.358490566	8.032820513	9.092879257	15.8471223	7.937837838	3.054602184		3.347008547	1.290705339		
OTU12479	1.686477175								3.054602184	2.532988357				3.831702544
OTU1273	1.686477175			6.716981132		3.030959752	3.521582734							
OTU1288	6.745908699	2.472222222								2.532988357		2.581410679	4.956962025	7.663405088
OTU1298	3.37295435	2.472222222	4.183760684	3.358490566	2.008205128	12.12383901	1.760791367	2.645945946				1.290705339		
OTU1301			4.183760684							2.532988357	6.694017094	6.453526697	9.913924051	
OTU1302										2.532988357	3.347008547	1.290705339		7.663405088
OTU13042	1.686477175					3.030959752	5.282374101	2.645945946						
OTU13152						3.030959752	5.282374101	5.291891892				1.290705339		
OTU13158		2.472222222		3.358490566	2.008205128	3.030959752	1.760791367	5.291891892						
OTU1317	1.686477175	2.472222222	4.183760684			3.030959752		2.645945946				2.581410679		
OTU13170		2.472222222		3.358490566			1.760791367	5.291891892	3.054602184					
OTU13179		2.472222222	4.183760684		6.024615385	3.030959752	3.521582734	7.937837838	18.3276131			21.94199077		
OTU13180	3.37295435	2.472222222			4.016410256		1.760791367	2.645945946						
OTU13231					2.008205128	3.030959752	1.760791367	5.291891892						
OTU13232		4.944444444	20.91880342	3.358490566								3.872116018	4.956962025	
OTU13243			4.183760684		2.008205128	6.061919505		2.645945946						
OTU1329		4.944444444	4.183760684	3.358490566				2.645945946	3.054602184	2.532988357	6.694017094	1.290705339		3.831702544
